x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014
0.,0.,,,,,,,,,0.,1.,,,0.,0.0303955078,,,0.,-0.1656075716,0.,-0.1298680305,,,,,,,,
2047.,0.,,,,,,,,,2047.,1.,,,1.,0.0303955078,,,1.,-0.1654016972,1.,-0.010655582,,,,,,,,
,,,,,,,,,,,,,,2.,0.0306396484,,,2.,-0.1652005315,2.,0.1289712787,,,,,,,,
,,,,,,,,,,,,,,3.,0.0306396484,,,3.,-0.1653808355,3.,0.0217279196,,,,,,,,
,,,,,,,,,,,,,,4.,0.0303955078,,,4.,-0.1656327844,4.,-0.1242050529,,,,,,,,
,,,,,,,,,,,,,,5.,0.0302734375,,,5.,-0.1654304266,5.,-0.0527903438,,,,,,,,
,,,,,,,,,,,,,,6.,0.0305175781,,,6.,-0.1651629806,6.,0.1080474854,,,,,,,,
,,,,,,,,,,,,,,7.,0.0306396484,,,7.,-0.1652724147,7.,0.0923881531,,,,,,,,
,,,,,,,,,,,,,,8.,0.0305175781,,,8.,-0.1655079722,8.,-0.0695009232,,,,,,,,
,,,,,,,,,,,,,,9.,0.0302734375,,,9.,-0.1655974388,9.,-0.1186685562,,,,,,,,
,,,,,,,,,,,,,,10.,0.0303955078,,,10.,-0.1652579308,10.,0.0276680589,,,,,,,,
,,,,,,,,,,,,,,11.,0.0306396484,,,11.,-0.1651485562,11.,0.1297831535,,,,,,,,
,,,,,,,,,,,,,,12.,0.0306396484,,,12.,-0.1653721333,12.,0.0399058461,,,,,,,,
,,,,,,,,,,,,,,13.,0.0303955078,,,13.,-0.1655991673,13.,-0.1116651893,,,,,,,,
,,,,,,,,,,,,,,14.,0.0302734375,,,14.,-0.1655243635,14.,-0.0957092047,,,,,,,,
,,,,,,,,,,,,,,15.,0.0303955078,,,15.,-0.1652495265,15.,0.0564748049,,,,,,,,
,,,,,,,,,,,,,,16.,0.0306396484,,,16.,-0.1652746797,16.,0.0819121003,,,,,,,,
,,,,,,,,,,,,,,17.,0.0305175781,,,17.,-0.1655459404,17.,-0.0689355135,,,,,,,,
,,,,,,,,,,,,,,18.,0.0302734375,,,18.,-0.1654877067,18.,-0.0736611485,,,,,,,,
,,,,,,,,,,,,,,19.,0.0303955078,,,19.,-0.1651977897,19.,0.0817084312,,,,,,,,
,,,,,,,,,,,,,,20.,0.0306396484,,,20.,-0.1651783586,20.,0.1218321323,,,,,,,,
,,,,,,,,,,,,,,21.,0.0306396484,,,21.,-0.1654468775,21.,-0.0021305084,,,,,,,,
,,,,,,,,,,,,,,22.,0.0303955078,,,22.,-0.165604949,22.,-0.1240671277,,,,,,,,
,,,,,,,,,,,,,,23.,0.0302734375,,,23.,-0.1654718518,23.,-0.0808494091,,,,,,,,
,,,,,,,,,,,,,,24.,0.0303955078,,,24.,-0.165227592,24.,0.0704973340,,,,,,,,
,,,,,,,,,,,,,,25.,0.0306396484,,,25.,-0.1651644111,25.,0.1279183626,,,,,,,,
,,,,,,,,,,,,,,26.,0.0306396484,,,26.,-0.1653660536,26.,0.0222401023,,,,,,,,
,,,,,,,,,,,,,,27.,0.0303955078,,,27.,-0.1655969024,27.,-0.1113885641,,,,,,,,
,,,,,,,,,,,,,,28.,0.0302734375,,,28.,-0.1655525565,28.,-0.1055355072,,,,,,,,
,,,,,,,,,,,,,,29.,0.0303955078,,,29.,-0.1652883887,29.,0.0255071521,,,,,,,,
