time_offset_fs,v1,v2,error_signal_E,estimated_time_offset_fs
-1500.0,0.0020000000334579305,0.002006956498395095,-0.0017360969308912102,-0.42297503438399536
-1499.0,0.0020000000342434996,0.002007061947663323,-0.001762366904158246,-0.4293753690039904
-1498.0,0.002000000035047066,0.00200716890393128,-0.0017890108935715511,-0.43586682930450793
-1497.0,0.0020000000358690317,0.002007277387274011,-0.0018160338395716658,-0.44245061904965177
-1496.0,0.002000000036709807,0.0020073874180116017,-0.001843440741695926,-0.44912795640588454
-1495.0,0.002000000037569811,0.00200749901671184,-0.0018712366591869987,-0.4559000740904694
-1494.0,0.002000000038449472,0.0020076122041929054,-0.0018994267116058253,-0.4627682195209929
-1493.0,0.0020000000393492275,0.00200772700152608,-0.0019280160794495898,-0.4697336549661203
-1492.0,0.0020000000402695243,0.0020078434300384866,-0.0019570100047743505,-0.47679765769749466
-1491.0,0.0020000000412108195,0.0020079615113158507,-0.0019864137918219763,-0.4839615201426932
-1490.0,0.0020000000421735793,0.0020080812672052866,-0.0020162328076522118,-0.49122655003944204
-1489.0,0.002000000043158281,0.0020082027198181107,-0.0020464724827789775,-0.498594070590871
-1488.0,0.00200000004416541,0.0020083258915326776,-0.00207713831181183,-0.5060654206220361
-1487.0,0.002000000045195465,0.0020084508049972444,-0.002108235854101358,-0.5136419547374097
-1486.0,0.002000000046248954,0.0020085774831328585,-0.002139770734389995,-0.5213250434797002
-1485.0,0.0020000000473263954,0.0020087059491362726,-0.002171748643467322,-0.529116073489778
-1484.0,0.0020000000484283196,0.002008836226482885,-0.0022041753388297412,-0.5370164476676741
-1483.0,0.002000000049555269,0.0020089683389297058,-0.0022370566453446625,-0.5450275853346938
-1482.0,0.0020000000507077956,0.00200910231051835,-0.002270398455920373,-0.5531509223969215
-1481.0,0.0020000000518864657,0.002009238165578059,-0.002304206732179581,-0.5613879115096384
-1480.0,0.0020000000530918556,0.002009375928728742,-0.00233848750513758,-0.5697400222428738
-1479.0,0.0020000000543245553,0.0020095156248840537,-0.0023732468758861556,-0.5782087412483717
-1478.0,0.0020000000555851676,0.0020096572792544917,-0.002408491016280393,-0.5867955724272775
-1477.0,0.002000000056874307,0.0020098009173505236,-0.002444226169632112,-0.5955020370994516
-1476.0,0.002000000058192602,0.002009946564985742,-0.0024804586514063157,-0.6043296741735344
-1475.0,0.0020000000595406945,0.002010094248280046,-0.0025171948499228725,-0.6132800403183007
-1474.0,0.0020000000609192397,0.0020102439936628496,-0.0025544412270632655,-0.6223547101352643
-1473.0,0.0020000000623289073,0.002010395827876321,-0.0025922043189810728,-0.6315552763322085
-1472.0,0.0020000000637703814,0.002010549777978646,-0.002630490736817191,-0.6408833498978899
-1471.0,0.0020000000652443603,0.0020107058713473205,-0.0026693071674205107,-0.6503405602780866
-1470.0,0.0020000000667515566,0.0020108641356824746,-0.002708660374072265,-0.6599285555525628
-1469.0,0.0020000000682926997,0.0020110245990102205,-0.0027485571972146196,-0.6696490026130828
-1468.0,0.002000000069868533,0.002011187289686031,-0.0027890045551849938,-0.6795035873428432
-1467.0,0.002000000071479816,0.0020113522363981486,-0.0028300094449539652,-0.689494014796799
-1466.0,0.0020000000731273254,0.002011519468171019,-0.0028715789428674712,-0.6996220093830564
-1465.0,0.002000000074811854,0.0020116890143687593,-0.0029137202053943273,-0.7098893150455857
-1464.0,0.0020000000765342096,0.0020118609046986505,-0.0029564404698779094,-0.72029769544797
-1463.0,0.0020000000782952193,0.002012035169214662,-0.0029997470552912907,-0.7308489341580199
-1462.0,0.002000000080095728,0.0020122118383210054,-0.003043647362997822,-0.7415448348337407
-1461.0,0.002000000081936596,0.0020123909427757175,-0.003088148877516219,-0.7523872214104225
-1460.0,0.0020000000838187046,0.0020125725136942744,-0.0031332591672889043,-0.7633779382885496
-1459.0,0.0020000000857429523,0.0020127565825532323,-0.0031789858854552565,-0.7745188505229349
-1458.0,0.0020000000877102566,0.002012943181193904,-0.0032253367706297008,-0.7858118440130618
-1457.0,0.0020000000897215544,0.002013132341826061,-0.003272319647682833,-0.7972588256941957
-1456.0,0.0020000000917778033,0.0020133240970316665,-0.0033199424285272343,-0.808861723729669
-1455.0,0.0020000000938799802,0.002013518479768644,-0.0033682131129081213,-0.8206224877043767
-1454.0,0.0020000000960290823,0.00201371552337467,-0.003417139789197442,-0.8325430888191461
-1453.0,0.002000000098226129,0.0020139152615710025,-0.003466730635191247,-0.8446255200859373
-1452.0,0.0020000001004721606,0.002014117728466338,-0.0035169939189131647,-0.8568717965245686
-1451.0,0.002000000102768239,0.0020143229585607024,-0.0035679379994200057,-0.8692839553599981
-1450.0,0.002000000105115448,0.0020145309867493693,-0.0036195713276121174,-0.8818640562208006
-1449.0,0.002000000107514896,0.0020147418483268155,-0.0036719024470475365,-0.8946141813386095
-1448.0,0.002000000109967713,0.002014955578990703,-0.0037249399947599615,-0.9075364357485342
-1447.0,0.0020000001124750528,0.0020151722148458963,-0.0037786927020805636,-0.9206329474905522
-1446.0,0.002000000115038095,0.0020153917924085095,-0.0038331693954631063,-0.9339058678117554
-1445.0,0.0020000001176580418,0.002015614348609989,-0.00388837899731413,-0.9473573713698744
-1444.0,0.0020000001203361218,0.002015839920801225,-0.003944330526824747,-0.9609896564372453
-1443.0,0.0020000001230735896,0.0020160685467566957,-0.004001033100807301,-0.9748049451060115
-1442.0,0.002000000125871725,0.0020163002646786483,-0.0040584959345358225,-0.9888054834943011
-1441.0,0.002000000128731835,0.002016535113201309,-0.004116728342588998,-1.0029935419530722
-1440.0,0.002000000131655255,0.0020167731313951256,-0.004175739739696714,-1.0173714152738833
-1439.0,0.0020000001346433464,0.002017014358771047,-0.004235539641590546,-1.031941422897684
-1438.0,0.0020000001376975,0.0020172588352848314,-0.004296137665856962,-1.0467059091243252
-1437.0,0.002000000140819136,0.002017506601341393,-0.0043575435327937945,-1.0616672433229315
-1436.0,0.002000000144009703,0.002017757697799177,-0.004419767066269797,-1.076827820143084
-1435.0,0.002000000147270681,0.0020180121659745726,-0.00448281819458732,-1.0921900597268344
-1434.0,0.00200000015060358,0.0020182700476463573,-0.004546706951347954,-1.1077564079215085
-1433.0,0.002000000154009942,0.002018531385060176,-0.004611443476320751,-1.1235293364932109
-1432.0,0.0020000001574913403,0.002018796220933056,-0.0046770380163139195,-1.1395113433412494
-1431.0,0.0020000001610493818,0.0020190645984579526,-0.004743500926048217,-1.1557049527130494
-1430.0,0.0020000001646857057,0.0020193365613083315,-0.00481084266903357,-1.1721127154199362
-1429.0,0.0020000001684019855,0.0020196121536427882,-0.0048790738184487596,-1.1887372090537436
-1428.0,0.0020000001721999306,0.002019891420109696,-0.004948205058021695,-1.2055810382036534
-1427.0,0.002000000176081284,0.002020174405851894,-0.005018247182914354,-1.2226468346742605
-1426.0,0.002000000180047826,0.002020461156511409,-0.005089211100608139,-1.239937257703829
-1425.0,0.002000000184101373,0.0020207517182342103,-0.005161107831792107,-1.257454994183345
-1424.0,0.0020000001882437795,0.002021046137675003,-0.005233948511253424,-1.2752027588762083
-1423.0,0.0020000001924769376,0.002021344462002055,-0.005307744388769094,-1.2931832946383381
-1422.0,0.0020000001968027794,0.002021646738902059,-0.005382506829999957,-1.3113993726389352
-1421.0,0.002000000201223276,0.00202195301658503,-0.005458247317386015,-1.3298537925816771
-1420.0,0.00200000020574044,0.002022263343789243,-0.005534977451044023,-1.3485493829265782
-1419.0,0.002000000210356324,0.002022577769786198,-0.005612708949665708,-1.3674890011121197
-1418.0,0.002000000215073024,0.002022896344385631,-0.00569145365141772,-1.3866755337779224
-1417.0,0.0020000002198926796,0.002023219117940553,-0.005771223514842753,-1.4061118969878292
-1416.0,0.0020000002248174733,0.002023546141352329,-0.00585203061976146,-1.4258010364533116
-1415.0,0.0020000002298496324,0.0020238774660757946,-0.005933887168176166,-1.4457459277574474
-1414.0,0.0020000002349914304,0.0020242131441244064,-0.006016805485174296,-1.4659495765789679
-1413.0,0.0020000002402451875,0.0020245532280754293,-0.006100798019832843,-1.4864150189167031
-1412.0,0.002000000245613271,0.0020248977710751637,-0.006185877346124049,-1.5071453213144688
-1411.0,0.0020000002510980977,0.0020252468268442043,-0.006272056163820046,-1.5281435810858557
-1410.0,0.0020000002567021322,0.002025600449682742,-0.006359347299399544,-1.5494129265396768
-1409.0,0.0020000002624278907,0.0020259586944758965,-0.006447763706952815,-1.5709565172051614
-1408.0,0.002000000268277941,0.002026321616699092,-0.006537318469087368,-1.5927775440574894
-1407.0,0.0020000002742549027,0.0020266892724234674,-0.006628024797834377,-1.614879229743687
-1406.0,0.0020000002803614485,0.002027061718321322,-0.006719896035552711,-1.637264828808115
-1405.0,0.0020000002866003073,0.0020274390116716023,-0.006812945655833558,-1.6599376279182956
-1404.0,0.0020000002929742616,0.002027821210365426,-0.006907187264404965,-1.6829009460909092
