x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014
,,,,,,,,,,,,,,55.,0.0305175781,,,55.,-0.1664509177,55.,0.1186485291,,,,,,,,
,,,,,,,,,,,,,,56.,0.0306396484,,,56.,-0.1665361524,56.,0.0875015259,,,,,,,,
,,,,,,,,,,,,,,57.,0.0305175781,,,57.,-0.1667973399,57.,-0.0614888072,,,,,,,,
,,,,,,,,,,,,,,58.,0.0302734375,,,58.,-0.1668056846,58.,-0.0927343369,,,,,,,,
,,,,,,,,,,,,,,59.,0.0303955078,,,59.,-0.1665275693,59.,0.0566717982,,,,,,,,
,,,,,,,,,,,,,,60.,0.0306396484,,,60.,-0.1665204167,60.,0.0947511792,,,,,,,,
,,,,,,,,,,,,,,61.,0.0305175781,,,61.,-0.1667864323,61.,-0.0518681407,,,,,,,,
,,,,,,,,,,,,,,62.,0.0303955078,,,62.,-0.1668887138,62.,-0.1305411458,,,,,,,,
,,,,,,,,,,,,,,63.,0.0302734375,,,63.,-0.1667360067,63.,-0.0499151349,,,,,,,,
,,,,,,,,,,,,,,64.,0.0305175781,,,64.,-0.1665040851,64.,0.0959046483,,,,,,,,
,,,,,,,,,,,,,,65.,0.0306396484,,,65.,-0.1664809585,65.,0.1182073951,,,,,,,,
,,,,,,,,,,,,,,66.,0.0303955078,,,66.,-0.1668668985,66.,-0.0914657712,,,,,,,,
,,,,,,,,,,,,,,67.,0.0302734375,,,67.,-0.1668813825,67.,-0.1209053993,,,,,,,,
,,,,,,,,,,,,,,68.,0.0305175781,,,68.,-0.1664909720,68.,0.0851117373,,,,,,,,
,,,,,,,,,,,,,,69.,0.0306396484,,,69.,-0.1665011048,69.,0.1223193407,,,,,,,,
,,,,,,,,,,,,,,70.,0.0306396484,,,70.,-0.1666910052,70.,0.0034700632,,,,,,,,
,,,,,,,,,,,,,,71.,0.0303955078,,,71.,-0.1668754816,71.,-0.1274724007,,,,,,,,
,,,,,,,,,,,,,,72.,0.0302734375,,,72.,-0.1666556001,72.,-0.0155767202,,,,,,,,
,,,,,,,,,,,,,,73.,0.0306396484,,,73.,-0.1664700508,73.,0.1284126043,,,,,,,,
,,,,,,,,,,,,,,74.,0.0306396484,,,74.,-0.1666944623,74.,0.0160088539,,,,,,,,
,,,,,,,,,,,,,,75.,0.0303955078,,,75.,-0.1668838859,75.,-0.1130904555,,,,,,,,
,,,,,,,,,,,,,,76.,0.0302734375,,,76.,-0.1666743159,76.,-0.0268005133,,,,,,,,
,,,,,,,,,,,,,,77.,0.0305175781,,,77.,-0.1664588451,77.,0.1084765196,,,,,,,,
,,,,,,,,,,,,,,78.,0.0306396484,,,78.,-0.1666266322,78.,0.0395690203,,,,,,,,
,,,,,,,,,,,,,,79.,0.0305175781,,,79.,-0.166849494,79.,-0.1086984277,,,,,,,,
,,,,,,,,,,,,,,80.,0.0303955078,,,80.,-0.1666818261,80.,-0.0291801095,,,,,,,,
,,,,,,,,,,,,,,81.,0.0305175781,,,81.,-0.1664683819,81.,0.1102815866,,,,,,,,
,,,,,,,,,,,,,,82.,0.0306396484,,,82.,-0.1666737795,82.,0.0215323567,,,,,,,,
,,,,,,,,,,,,,,83.,0.0303955078,,,83.,-0.1668942571,83.,-0.1140700579,,,,,,,,
,,,,,,,,,,,,,,84.,0.0302734375,,,84.,-0.1668229103,84.,-0.0969240665,,,,,,,,
,,,,,,,,,,,,,,85.,0.0305175781,,,85.,-0.1664686799,85.,0.1163749099,,,,,,,,
,,,,,,,,,,,,,,86.,0.0306396484,,,86.,-0.16656214,86.,0.0964117646,,,,,,,,
,,,,,,,,,,,,,,87.,0.0303955078,,,87.,-0.1668782830,87.,-0.1158639789,,,,,,,,
